Types of Transaction,Month,Year,Volume,Amount,Type of Transaction,,,,
Check Clearing Results (Net),Oct,2016,2631.00,365953396856.15,BSP,,,,
Check Clearing Results (Net),Nov,2016,2633.00,393835839052.35,BSP,,,,
Check Clearing Results (Net),Dec,2016,2628.00,455722135378.05,BSP,,,,
Check Clearing Results (Net),Jan,2017,2505.00,410196168877.78,BSP,,,,
Check Clearing Results (Net),Feb,2017,2063.00,415301528083.04,BSP,,,,
Check Clearing Results (Net),Mar,2017,2364.00,535821713056.46,BSP,,,,
Check Clearing Results (Net),Apr,2017,1759.00,433006536861.10,BSP,,,,
Check Clearing Results (Net),May,2017,2278.00,582187453355.98,BSP,,,,
Check Clearing Results (Net),Jun,2017,2078.00,503979318243.43,BSP,,,,
Check Clearing Results (Net),Jul,2017,2169.00,520907413625.24,BSP,,,,
Check Clearing Results (Net),Aug,2017,2174.00,461589861158.44,BSP,,,,
Check Clearing Results (Net),Sep,2017,2020.00,497157052108.22,BSP,,,,
Check Clearing Results (Net),Oct,2017,2132.00,481964528996.63,BSP,,,,
Check Clearing Results (Net),Nov,2017,2056.00,450806534366.29,BSP,,,,
Check Clearing Results (Net),Dec,2017,1968.00,554037731060.78,BSP,,,,
Check Clearing Results (Net),Jan,2018,2184.00,482562673425.28,BSP,,,,
Check Clearing Results (Net),Feb,2018,1989.00,445158078329.20,BSP,,,,
Check Clearing Results (Net),Mar,2018,2102.00,494018941918.23,BSP,,,,
Check Clearing Results (Net),Apr,2018,2107.00,554671949009.91,BSP,,,,
Check Clearing Results (Net),May,2018,2229.00,570884806935.07,BSP,,,,
Check Clearing Results (Net),Jun,2018,2030.00,551015815595.31,BSP,,,,
Check Clearing Results (Net),Jul,2018,2392.00,587779023672.02,BSP,,,,
Check Clearing Results (Net),Aug,2018,2326.00,631980830147.02,BSP,,,,
Check Clearing Results (Net),Sep,2018,2220.00,565259367961.25,BSP,,,,
Check Clearing Results (Net),Oct,2018,1618.00,480000000000.00,BSP,,,,
Check Clearing Results (Net),Nov,2018,1335.00,450000000000.00,BSP,,,,
Check Clearing Results (Net),Dec,2018,1284.00,470000000000.00,BSP,,,,
Check Clearing Results (Net),Jan,2019,1581.00,526160471000.00,BSP,,,,
Check Clearing Results (Net),Feb,2019,1325.00,428688746000.00,BSP,,,,
Check Clearing Results (Net),Mar,2019,1552.00,494345993000.00,BSP,,,,
Check Clearing Results (Net),Apr,2019,1413.00,502709705000.00,BSP,,,,
Check Clearing Results (Net),May,2019,1564.00,557488816000.00,BSP,,,,
MegaLink,Jan,2016,327.00,10848224687.22,BSP,,,,
MegaLink,Feb,2016,315.00,11213318026.22,BSP,,,,
